id,composition,eform,egap
mp-13963,HfSiTe,-0.624,0.0341
mp-158,as4,0.16,0.7467
mp-23002,BrOTi,-2.231,0.0023
mp-23313,BiIn,0.24,0.0266
mp-25214,NbO2,-2.245,0.0484
mp-28109,AsO3Sb,-1.306,2.2826
mp-510584,MoO3,-2.04,1.8234
mp-541449,CrGeTe3,-0.04,0.5289
mp-541912,BrNZr,-1.769,1.3309
mp-545482,O3PdSe,-0.598,1.1115
mp-556194,FSbSe2Sr,-1.768,0.0132
mp-556750,CoO2,-0.925,1.3905
mp-567809,AgI,-0.116,1.9771
mp-569610,CoI2,0.102,0.0281
mp-569623,Br2NbSe2,-0.698,1.1027
mp-570219,Br3In,-0.752,2.8824
mp-571210,GaIY,-1.059,0.074
mp-571442,I3Y,-1.381,2.8984
mp-571471,CoNbTe2,-0.269,0.0081
mp-604910,MnSe,-0.217,0.019
mp-625055,AlHO2,-2.362,2.7324
mp-752602,BiBr3,-0.667,2.998
mp-754031,BrOY,-3.091,2.6996
mp-754311,MgO8Re2,-1.917,4.0791
mp-759883,BiFO,-1.882,3.21
mp-774160,NiO4Te,-0.752,0.0161
mp-8677,Te4TiZr,-0.692,0.0075
mp-995193,HSi3,0.063,0.9862
mvc-11573,O2V,-2.288,0.1437
mvc-14413,O3Te,-0.093,0.9469
mvc-15971,BiO2,-0.485,1.9231
mp-1640,CHo2,0.026,0.0579
mp-16765,PTe2Zr2,-1.093,0.0542
mp-2125,O2Te,-1.025,2.0905
mp-23896,ClHLu,-1.419,0.0476
mp-27127,O9Te4,-0.943,2.6803
mp-27153,Br4U,-1.281,0.0232
mp-27393,AlI2Pd5,-0.351,0.008
mp-27638,I2Ni,-0.018,0.025
mp-27652,I2Th,-1.025,0.1738
mp-29535,CeISi,-0.97,0.0522
mp-3208,GeTeZr,-0.729,0.0867
mp-3250,Ni2SbTe2,-0.164,0.0178
mp-505366,AuBr,-0.004,1.8869
mp-505531,FeS,-0.5,0.0374
mp-541911,ClHfN,-1.983,2.4043
mp-542096,CrPS4,-0.403,0.968
mp-546279,BrOSc,-2.91,3.2365
mp-557592,AgCrP2S6,-0.316,1.2131
mp-559760,IOSc,-2.674,1.9939
mp-561591,O4WZn,-1.908,3.1428
mp-567279,Cl2Zn,-1.086,4.3192
mp-567354,Cl3Ti,-1.59,0.0801
mp-567441,HfIN,-1.499,1.0297
mp-567525,AuTe2,0.254,0.0051
mp-568592,ClNZr,-1.949,1.9126
mp-569581,Bi2Pt,0.042,0.039
mp-569715,BiCuP2Se6,-0.066,0.8731
mp-570062,Se4TiZr,-1.167,0.0206
mp-570823,B2BaSe6,0.003,0.0583
mp-571122,FeI2,0.003,0.1046
mp-571550,Sb2Se2Te,-0.126,0.8452
mp-676315,GeI2Y2,-1.268,0.1908
mp-707135,Al2O11Si4,-2.952,4.4611
mp-7293,HgPSe3,-0.002,1.2996
mp-754540,CaI4Pb,-1.103,3.052
mp-754815,Br3Y,-1.887,4.0673
mp-755336,INdO,-2.793,3.8469
mp-755565,BrHoO,-3.085,3.8191
mp-755689,ClErO,-3.209,5.3471
mp-768680,CrP2S7,-0.236,0.0419
mp-771247,CoO4Te,-0.772,0.0076
mp-80,sb1,0.875,0.0202
mp-8732,SeTa2,-0.385,0.0022
mp-909,As2Se3,0.027,1.3176
mp-945077,Te3Y,-0.905,0.0228
mp-971787,Br2V,-0.788,0.6285
mp-972794,Sb3Si,1.068,0.0102
mp-978553,As2Si,0.026,1.4016
mp-978567,As3Si,1.054,0.0146
mvc-11221,O2W,-0.214,0.0226
mvc-13391,O2Ti,-0.33,0.1599
mvc-6946,O2Sn,-1.515,1.2173
mp-27546,CaClF,-3.316,2.1852
mp-540584,K2O2Pd,-0.394,0.0295
mp-568690,Br2Cd,-0.809,3.2479
mp-1379,SSn,-0.362,1.8951
mp-15622,HfSe3,-0.986,0.0343
mp-157,P4,0.112,0.848
mp-1595,Nb2O5,-2.441,3.1074
mp-1892,Ba2N,-0.348,0.0862
mp-3813,Ba2S4Zr,-1.868,0.5558
mp-486,NiP2,0.092,0.217
mp-5770,AgNO2,-0.025,1.2378
mp-7983,Mg2O4Si,-1.063,0.0146
mp-8211,GaGeTe,-0.187,0.5378
mp-9897,As2Te3,0.064,0.7472
mp-9922,HfS3,-1.269,1.2087
mvc-11598,NiS2,-0.219,0.0314
mvc-15384,NSb,0.411,2.066
mp-21405,InSe,-0.343,1.7152
mp-23173,HgI2,-0.135,1.8769
mp-23227,BrCu,-0.06,1.1631
mp-23244,I3U,-0.79,0.0014
mp-23293,Cl3Tb,-2.294,3.909
mp-24866,Br2CoO2Sr2,-2.068,0.1054
mp-25546,H2MnO2,-1.065,0.0401
mp-27923,ClTb,-1.457,0.1019
mp-27986,F2NpO2,0,0.107
mp-28722,Cl6PtS2,-0.216,1.7775
mp-29196,AuCN,0.481,2.1703
mp-30009,F2Kr,0.085,3.0112
mp-30244,H2Mg2O3,-2.122,2.5227
mp-32403,H2NiO2,-0.793,0.0202
mp-33723,BiBrTe,-0.399,1.6457
mp-34289,NbS4Ti,-1.163,0.0073
mp-557685,INbO2,-2.02,0.8725
mp-556939,INpO,0,0.0342
mp-542180,I2Te2Th,-0.936,1.4611
mp-551470,OTl2,-0.602,1.1372
mp-552120,ClOY,-3.285,4.4197
mp-552234,BiBrO2Sr,-1.938,1.8057
mp-541073,ISSm,-1.859,2.6789
mp-10033,NbS2,-1.03,0.0801
mp-10228,NbSe2,-0.735,0.2159
mp-1115,PtSe2,-0.272,1.3617
mp-11324,Se2Ta,-0.708,0.1358
mp-1170,S2Sn,-0.357,1.5529
mp-1186,S2Zr,-1.597,1.2421
mp-1215,OTi2,-1.009,0.0257
mp-12351,PrTe3,-0.974,0.0078
mp-12406,S3U,-1.166,0.0045
mp-13178,AlN,-1.024,2.8797
mp-13383,AgP2ScSe6,-0.444,1.6513
mp-13384,AgErP2Se6,-0.466,1.7672
mp-13385,AgP2Se6Tm,-0.466,1.7897
mp-13682,PdS2,-0.171,1.2821
mp-1469,P4S3,-0.044,1.5652
mp-1602,S2Si,-0.585,1.1565
mp-1634,MoSe2,-0.591,1.446
mp-1683,Se3Zr,-1.045,0.0245
mp-1690,S2Ta,-1.039,0.0988
mp-17287,IrTaTe4,-0.242,0.0086
mp-1821,Se2W,-0.465,1.3336
mp-1863,AsSi,0.014,1.808
mp-1943,GaSe,-0.523,1.8729
mp-20311,FeSe,-0.202,0.0238
mp-20422,KMnP,-0.41,0.0166
mp-2076,Se2Zr,-1.306,0.0488
mp-2097,OSn,-1.328,3.1315
mp-2156,S2Ti,-1.331,0.0895
mp-2194,Se2Ti,-1.068,0.0189
mp-224,S2W,-0.819,1.3372
mp-22693,Te2W,0.012,0.0101
mp-22883,I2Pb,-0.571,2.639
mp-22971,BrSSb,-0.382,1.5463
mp-22996,ISbSe,-0.101,1.189
mp-23020,BiISe,-0.218,1.8501
mp-23184,BCl3,-0.844,4.7605
mp-23204,Cl3Fe,-0.615,1.0017
mp-23205,I2Mg,-1.044,3.7951
mp-23210,Cl2Mg,-1.918,3.62
mp-23225,BBr3,-0.356,3.8083
mp-23229,Cl2Fe,-0.674,0.0673
mp-23230,Cl3P,-0.57,1.968
mp-23264,I3Ti,-0.707,0.0198
mp-23280,AsCl3,-0.619,1.3892
mp-23281,I3Sb,-0.249,2.2019
mp-23288,AlBr3,-1.035,1.0686
mp-23294,Br3Ru,-0.218,0.0914
mp-23312,Br3Mo,-0.471,0.2715
mp-23317,AsBr3,-0.342,2.5402
mp-23324,BiBrS,-0.501,1.2819
mp-23739,H4Si,0.038,4.0426
mp-2418,PdSe2,-0.092,1.4367
mp-2450,CaSn,-0.395,0.0081
mp-2507,GaS,-0.65,2.4492
mp-2578,NiTe2,-0.041,0.0037
mp-27257,Br3P,-0.237,3.332
mp-27440,ClZr,-1.307,0.0491
mp-27462,AlPS4,-0.537,2.5522
mp-2755,SiTe2,0.187,0.0326
mp-27648,BrTe2,-0.066,0.8813
mp-27655,ITe2,0.055,0.9226
mp-27699,Cl2N2S3,0.28,1.5079
mp-27734,Br3Cr,-0.725,1.1182
mp-27848,INTi,-1.222,0.1883
mp-28077,Br2Pb,-0.853,2.918
mp-2809,S3Sb2,-0.2,1.0518
mp-28117,Cl3V,-1.22,0.0212
mp-2815,MoS2,-0.885,1.6582
mp-28208,Cl6FeZr,-1.353,0.7342
mp-28248,CdI2,-0.497,1.4251
mp-28480,Cl2NSc2,-2.107,0.0212
mp-28693,Al3ITe3,-0.471,1.9944
mp-28745,INb2Te6,-0.255,0.7358
mp-28753,I2Nd,-1.256,0.0655
mp-28754,GeNb3Te6,-0.351,0.646
mp-28910,CrS2,-0.536,0.0538
mp-28919,Hf3Te2,-0.511,0.0527
